% ID	X	Y	Z	Power	direction
 32 	 -2771.281262 	 -14399.999948 	 35.000000 	 43.000000 	 0.000000 
 33 	 2771.281316 	 -14399.999958 	 35.000000 	 43.000000 	 0.000000 
 34 	 8313.843894 	 -14399.999969 	 35.000000 	 43.000000 	 0.000000 
 35 	 11085.125174 	 -9599.999990 	 35.000000 	 43.000000 	 0.000000 
 36 	 13856.406454 	 -4800.000010 	 35.000000 	 43.000000 	 0.000000 
 37 	 22170.250313 	 -0.000042 	 35.000000 	 43.000000 	 0.000000 
 38 	 19398.969014 	 4799.999948 	 35.000000 	 43.000000 	 0.000000 
 39 	 0.000000 	 0.000000 	 35.000000 	 43.000000 	 120.000000 
 40 	 5542.562578 	 -0.000010 	 35.000000 	 43.000000 	 120.000000 
 41 	 2771.281280 	 4799.999979 	 35.000000 	 43.000000 	 120.000000 
 42 	 -2771.281298 	 4799.999990 	 35.000000 	 43.000000 	 120.000000 
 43 	 -5542.562578 	 0.000010 	 35.000000 	 43.000000 	 120.000000 
 44 	 -2771.281280 	 -4799.999979 	 35.000000 	 43.000000 	 120.000000 
 45 	 2771.281298 	 -4799.999990 	 35.000000 	 43.000000 	 120.000000 
 46 	 11085.125156 	 -0.000021 	 35.000000 	 43.000000 	 120.000000 
 47 	 8313.843858 	 4799.999969 	 35.000000 	 43.000000 	 120.000000 
 48 	 5542.562560 	 9599.999958 	 35.000000 	 43.000000 	 120.000000 
 49 	 -0.000018 	 9599.999969 	 35.000000 	 43.000000 	 120.000000 
 50 	 -5542.562596 	 9599.999979 	 35.000000 	 43.000000 	 120.000000 
 51 	 -8313.843876 	 4800.000000 	 35.000000 	 43.000000 	 120.000000 
 52 	 -11085.125156 	 0.000021 	 35.000000 	 43.000000 	 120.000000 
 53 	 -8313.843858 	 -4799.999969 	 35.000000 	 43.000000 	 120.000000 
 54 	 -5542.562560 	 -9599.999958 	 35.000000 	 43.000000 	 120.000000 
 55 	 0.000018 	 -9599.999969 	 35.000000 	 43.000000 	 120.000000 
 56 	 5542.562596 	 -9599.999979 	 35.000000 	 43.000000 	 120.000000 
 57 	 8313.843876 	 -4800.000000 	 35.000000 	 43.000000 	 120.000000 
 58 	 16627.687734 	 -0.000031 	 35.000000 	 43.000000 	 120.000000 
 59 	 13856.406436 	 4799.999958 	 35.000000 	 43.000000 	 120.000000 
 60 	 11085.125138 	 9599.999948 	 35.000000 	 43.000000 	 120.000000 
 61 	 8313.843840 	 14399.999937 	 35.000000 	 43.000000 	 120.000000 
 62 	 2771.281262 	 14399.999948 	 35.000000 	 43.000000 	 120.000000 
 63 	 -2771.281316 	 14399.999958 	 35.000000 	 43.000000 	 120.000000 
 64 	 -8313.843894 	 14399.999969 	 35.000000 	 43.000000 	 120.000000 
 65 	 -11085.125174 	 9599.999990 	 35.000000 	 43.000000 	 120.000000 
