% RxNodeID	FreqInGHz	BandwidthMHz	N0	RSSI	BestRSRP	BestRSRPNode	BestSINR	RoIDbm
16389	0.7	20	-100.88970004336021	-58.624791154892506	-58.64001632144541	69	24.54460778360854	-1000
36793	0.7	20	-100.88970004336021	-69.90554807213024	-72.35466145169539	15	1.205802317220531	-1000
20800	0.7	20	-100.88970004336021	-75.30549066861555	-76.25893581258784	78	6.09944533557541	-1000
22621	0.7	20	-100.88970004336021	-75.7956971149624	-76.79254869990493	83	5.883582678515822	-1000
2699	0.7	20	-100.88970004336021	-63.04317924081258	-63.15378883882061	4	15.884492796140684	-1000
10283	0.7	20	-100.88970004336021	-58.16412541069448	-58.18101948262586	58	24.092049948949878	-1000
11646	0.7	20	-100.88970004336021	-63.64616200910034	-65.023087125004	21	4.282102868471327	-1000
18114	0.7	20	-100.88970004336021	-62.009911724841615	-62.06432389210116	34	18.993648380475413	-1000
14830	0.7	20	-100.88970004336021	-68.4873427278749	-70.86058069342673	28	1.3839086154070657	-1000
22227	0.7	20	-100.88970004336021	-74.7498099468128	-75.6200131282482	82	6.539272114215748	-1000
2791	0.7	20	-100.88970004336021	-47.86993790289968	-47.872204533790125	5	32.82290171637534	-1000
4423	0.7	20	-100.88970004336021	-66.35608635304825	-67.66820992078843	47	4.525528648906459	-1000
7042	0.7	20	-100.88970004336021	-47.47062626435033	-47.47263251539612	52	33.35298718754747	-1000
11203	0.7	20	-100.88970004336021	-53.304721772064184	-53.3105573157951	99	28.714111734804654	-1000
10289	0.7	20	-100.88970004336021	-55.90819033603371	-55.91822144089876	58	26.359338889738595	-1000
23298	0.7	20	-100.88970004336021	-74.66940600409058	-75.35352000071143	7	7.680012127546419	-1000
23901	0.7	20	-100.88970004336021	-73.92851779993512	-74.67176657920459	47	7.289578007305522	-1000
26930	0.7	20	-100.88970004336021	-74.01203147938384	-74.74036671446956	55	7.385274076149855	-1000
28304	0.7	20	-100.88970004336021	-72.9032154260185	-73.37335682029784	98	9.41836710029773	-1000
4747	0.7	20	-100.88970004336021	-51.407114216821924	-51.4119511007075	8	29.529767828385644	-1000
10828	0.7	20	-100.88970004336021	-55.310784709636664	-55.31806205811096	20	27.754472215477747	-1000
13755	0.7	20	-100.88970004336021	-52.8604328095126	-52.86321441794695	103	31.933492289170857	-1000
18914	0.7	20	-100.88970004336021	-65.43448215201197	-65.52877196831918	113	16.58596501155739	-1000
39021	0.7	20	-100.88970004336021	-67.29322698253169	-67.43157455267136	116	14.898770339491463	-1000
19955	0.7	20	-100.88970004336021	-57.15821348975969	-57.166793563806756	115	27.03864201090451	-1000
23203	0.7	20	-100.88970004336021	-70.69158868587257	-71.07840215975537	45	10.3079850216415	-1000
32030	0.7	20	-100.88970004336021	-73.89113423246766	-74.20344723063425	108	11.274850255711556	-1000
32177	0.7	20	-100.88970004336021	-75.02062633950308	-75.51888770444256	69	9.151758683333625	-1000
31099	0.7	20	-100.88970004336021	-73.35906003431738	-73.87932291135563	28	8.952886732996376	-1000
32279	0.7	20	-100.88970004336021	-75.71410579530156	-76.21089846276672	31	9.165327412684519	-1000
7248	0.7	20	-100.88970004336021	-63.74546760602318	-64.13281869289035	13	10.30168036834651	-1000
10323	0.7	20	-100.88970004336021	-54.72181460336418	-54.7300669699174	58	27.207931174346314	-1000
10755	0.7	20	-100.88970004336021	-57.18255088201988	-57.195761593876625	59	25.16197388146395	-1000
22926	0.7	20	-100.88970004336021	-74.83761618853956	-75.662829302991	6	6.7930439463493	-1000
14700	0.7	20	-100.88970004336021	-46.148309394897936	-46.1493381752127	105	36.25410225634534	-1000
21767	0.7	20	-100.88970004336021	-74.49352270180458	-75.39846015949848	3	6.3513348479017395	-1000
26577	0.7	20	-100.88970004336021	-75.65240414907616	-76.69833989669101	54	5.6493344697955195	-1000
37040	0.7	20	-100.88970004336021	-71.79491061458208	-72.42734609892722	18	8.047626359195306	-1000
3043	0.7	20	-100.88970004336021	-59.23515776212244	-59.27204950126077	83	20.690092895081804	-1000
8420	0.7	20	-100.88970004336021	-47.093033117752434	-47.09487712785928	54	33.71928810484144	-1000
8897	0.7	20	-100.88970004336021	-48.55750839356346	-48.560071287021984	16	32.28925607725796	-1000
9425	0.7	20	-100.88970004336021	-47.55967389957344	-47.56169636224382	17	33.31802669876586	-1000
3812	0.7	20	-100.88970004336021	-50.358882586916145	-50.36257517618653	7	30.702686653355897	-1000
14559	0.7	20	-100.88970004336021	-48.61757958605263	-48.61929902355687	105	34.02311941285635	-1000
26041	0.7	20	-100.88970004336021	-74.81338843335885	-75.52043969359984	92	7.525013235951619	-1000
29085	0.7	20	-100.88970004336021	-73.63712861655986	-74.21333682564249	100	8.48075966770233	-1000
10619	0.7	20	-100.88970004336021	-55.47962263620764	-55.48843017824357	59	26.92489135150462	-1000
22117	0.7	20	-100.88970004336021	-73.59761549668269	-74.25992277853808	4	7.831886524455101	-1000
33615	0.7	20	-100.88970004336021	-72.89179114496525	-73.37379656663015	73	9.304092407322898	-1000
3753	0.7	20	-100.88970004336021	-56.89192013566276	-56.914338288312976	6	22.860630994467	-1000
4799	0.7	20	-100.88970004336021	-63.04723859819063	-63.12618370948605	47	17.365058350550548	-1000
7074	0.7	20	-100.88970004336021	-49.24842686830417	-49.25138670660496	91	31.663683252575396	-1000
9875	0.7	20	-100.88970004336021	-68.7117705414022	-68.98914880045422	96	11.807691670581207	-1000
14473	0.7	20	-100.88970004336021	-64.64378830070697	-64.70463383346814	105	18.505097846367036	-1000
2498	0.7	20	-100.88970004336021	-47.70778611774229	-47.709979963661226	4	32.96468492016365	-1000
3647	0.7	20	-100.88970004336021	-52.713153411765845	-52.72007021512269	45	27.975329962725667	-1000
12187	0.7	20	-100.88970004336021	-65.41559385878296	-65.58845695868419	22	13.91410191110947	-1000
12394	0.7	20	-100.88970004336021	-63.05019037366894	-63.16158765996738	62	15.853279300807856	-1000
617	0.7	20	-100.88970004336021	-58.00724483223691	-58.035320213402514	0	21.88054124833765	-1000
24529	0.7	20	-100.88970004336021	-72.90855848502525	-73.56768690925728	88	7.8544111338264315	-1000
33684	0.7	20	-100.88970004336021	-73.81034107898644	-74.38783124202894	73	8.470453009346585	-1000
37429	0.7	20	-100.88970004336021	-73.96148540977296	-74.27795526566702	61	11.215323854685565	-1000
27582	0.7	20	-100.88970004336021	-74.13158563936943	-74.8642294964414	96	7.357443480570538	-1000
34977	0.7	20	-100.88970004336021	-74.98205369761288	-75.5866275594873	116	8.257556341570577	-1000
36638	0.7	20	-100.88970004336021	-68.08532483774943	-68.29923971376016	53	12.968036789620086	-1000
9688	0.7	20	-100.88970004336021	-52.98632680548657	-52.99339730309976	96	27.879807584571694	-1000
16733	0.7	20	-100.88970004336021	-63.316624243212516	-63.34162361774057	109	22.386045999973007	-1000
17533	0.7	20	-100.88970004336021	-48.38399512448645	-48.385909303995334	33	33.557059359727944	-1000
18573	0.7	20	-100.88970004336021	-49.595436400855505	-49.59756275262103	35	33.100428772628504	-1000
19781	0.7	20	-100.88970004336021	-51.72205042911631	-51.72367455583927	37	34.2708319025526	-1000
21295	0.7	20	-100.88970004336021	-74.78842847813279	-75.67156792246098	40	6.4685003628388245	-1000
22699	0.7	20	-100.88970004336021	-76.10061947675251	-77.20973264761481	83	5.361732293835345	-1000
2291	0.7	20	-100.88970004336021	-51.79893219724977	-51.80460812809084	4	28.834633887356226	-1000
7521	0.7	20	-100.88970004336021	-48.0818374248437	-48.08413456918769	14	32.76481163521642	-1000
9977	0.7	20	-100.88970004336021	-58.52524919716607	-58.551805801264976	96	22.122832652257415	-1000
15502	0.7	20	-100.88970004336021	-46.37376852577581	-46.374827573039944	68	36.1281601522935	-1000
28163	0.7	20	-100.88970004336021	-75.64430216665798	-76.18509403471415	20	8.774340164982334	-1000
10975	0.7	20	-100.88970004336021	-66.44417260245685	-66.56491532722393	98	15.498722158643872	-1000
21229	0.7	20	-100.88970004336021	-73.89221555231227	-74.60543760615278	40	7.484105161567882	-1000
24827	0.7	20	-100.88970004336021	-75.56670143278467	-76.56249216216345	11	5.88875761905912	-1000
26471	0.7	20	-100.88970004336021	-73.22514919348099	-73.86422936894732	54	7.998831817026456	-1000
10562	0.7	20	-100.88970004336021	-55.11302805190617	-55.120155740531935	97	27.844791589094434	-1000
24597	0.7	20	-100.88970004336021	-72.56516968256719	-73.040504763756	49	9.368009386345847	-1000
26242	0.7	20	-100.88970004336021	-74.62049941604205	-75.34978635951465	15	7.379113740710835	-1000
32058	0.7	20	-100.88970004336021	-76.24733217917098	-76.6593784012271	108	10.020731851414695	-1000
6059	0.7	20	-100.88970004336021	-62.52797387259765	-62.60468019850105	89	17.4911216867201	-1000
14428	0.7	20	-100.88970004336021	-62.59050178325275	-62.669697055632845	27	17.351192735447604	-1000
27329	0.7	20	-100.88970004336021	-72.6980910327978	-73.25497148125115	56	8.638808307719586	-1000
30800	0.7	20	-100.88970004336021	-74.7195481339733	-75.40370607770049	27	7.679710597900524	-1000
29149	0.7	20	-100.88970004336021	-74.4537397716422	-74.81752816672386	61	10.58619087802154	-1000
31100	0.7	20	-100.88970004336021	-72.83096882036479	-73.33209612279586	28	9.1253897289685	-1000
37993	0.7	20	-100.88970004336021	-74.15913717528451	-74.809625834789	27	7.916142640180482	-1000
3497	0.7	20	-100.88970004336021	-52.990791923215596	-52.99817358384544	45	27.692611012624	-1000
8704	0.7	20	-100.88970004336021	-69.90369655704376	-70.54094024146619	94	8.01227060056084	-1000
19921	0.7	20	-100.88970004336021	-51.762630237873175	-51.76430032263131	37	34.14962291888893	-1000
20384	0.7	20	-100.88970004336021	-53.64340223472715	-53.648182185208725	38	29.58121894342092	-1000
31995	0.7	20	-100.88970004336021	-75.15639799720373	-75.57077067031983	108	9.995098478420246	-1000
3695	0.7	20	-100.88970004336021	-50.14683039267473	-50.15107237127104	6	30.100037222334407	-1000
5730	0.7	20	-100.88970004336021	-49.4399148461822	-49.443006504896154	49	31.474381727671606	-1000
6302	0.7	20	-100.88970004336021	-65.91694512788962	-68.06022534192132	11	1.9514306032647681	-1000
8727	0.7	20	-100.88970004336021	-67.69541392855058	-68.29519679431996	55	8.294560300869563	-1000
13607	0.7	20	-100.88970004336021	-50.26794367624899	-50.26945966252396	25	34.57013240366666	-1000
25684	0.7	20	-100.88970004336021	-75.89588075867329	-76.79605014213787	91	6.376744676088208	-1000
25331	0.7	20	-100.88970004336021	-71.92521220540233	-72.38091728830017	90	9.561159647292072	-1000
26175	0.7	20	-100.88970004336021	-74.06879601715067	-74.77345989548664	53	7.540928156940964	-1000
31006	0.7	20	-100.88970004336021	-77.02727964950967	-77.55771521570236	66	8.863599887836443	-1000
8612	0.7	20	-100.88970004336021	-54.54403877577668	-54.55402704633193	94	26.377945043543228	-1000
12108	0.7	20	-100.88970004336021	-65.6426297025712	-65.7395227194497	61	16.466381749142528	-1000
19369	0.7	20	-100.88970004336021	-51.68593225028015	-51.68937408240819	36	31.008225241048322	-1000
19417	0.7	20	-100.88970004336021	-51.597814593625415	-51.60181245976925	75	30.357561536397597	-1000
3331	0.7	20	-100.88970004336021	-46.856434189915895	-46.858252905765156	45	33.77928520847006	-1000
29168	0.7	20	-100.88970004336021	-75.32345917985828	-75.69577805236851	61	10.481203302791599	-1000
33117	0.7	20	-100.88970004336021	-74.61355411274477	-74.96382971911646	111	10.757429308513409	-1000
15076	0.7	20	-100.88970004336021	-50.44722652425865	-50.450149489698845	28	31.718144743442338	-1000
16809	0.7	20	-100.88970004336021	-56.140440526544936	-56.145306015420914	109	29.504145301837227	-1000
24838	0.7	20	-100.88970004336021	-71.60176327221383	-72.02218265925637	11	9.929110423395159	-1000
30161	0.7	20	-100.88970004336021	-72.89542151806243	-73.16951319978449	103	11.861117971539514	-1000
2925	0.7	20	-100.88970004336021	-50.47178259797384	-50.47588945998855	5	30.240688406559727	-1000
4272	0.7	20	-100.88970004336021	-48.75317603657685	-48.755766367093244	7	32.24299606385745	-1000
4327	0.7	20	-100.88970004336021	-70.83186745019971	-71.49332474720418	8	7.837899489526578	-1000
5977	0.7	20	-100.88970004336021	-53.14280347701391	-53.15031294967997	89	27.61799342733231	-1000
38580	0.7	20	-100.88970004336021	-79.34956699001866	-82.53763293482243	32	-0.3485408592230357	-1000
21898	0.7	20	-100.88970004336021	-73.62457866381496	-74.31390627337089	81	7.644364673914623	-1000
23057	0.7	20	-100.88970004336021	-74.33270038953441	-75.19310030613961	84	6.593539479450982	-1000
34200	0.7	20	-100.88970004336021	-73.42157742371263	-73.77733937236431	36	10.687152961192524	-1000
35910	0.7	20	-100.88970004336021	-70.58784904647952	-71.04926800688557	6	9.504136804795394	-1000
17656	0.7	20	-100.88970004336021	-48.40122283916136	-48.40320381906259	72	33.408051892763005	-1000
21875	0.7	20	-100.88970004336021	-74.19949603470923	-74.9520820150141	81	7.230556281604237	-1000
3814	0.7	20	-100.88970004336021	-57.19636970772366	-57.21469908614575	46	23.737197824439306	-1000
6308	0.7	20	-100.88970004336021	-57.481216128803936	-57.50038257120845	89	23.542841283192615	-1000
13948	0.7	20	-100.88970004336021	-77.9757971688887	-84.13463122120237	65	-4.954563961779215	-1000
14193	0.7	20	-100.88970004336021	-70.07913448143208	-72.69256422195087	26	0.8336886871142752	-1000
32191	0.7	20	-100.88970004336021	-72.67727267364954	-72.97416398502608	69	11.502576943083582	-1000
36853	0.7	20	-100.88970004336021	-70.82055599092425	-71.24164737147504	55	9.921832830992685	-1000
36905	0.7	20	-100.88970004336021	-70.44142231617707	-70.76565830195202	94	11.106104409036021	-1000
37745	0.7	20	-100.88970004336021	-65.40389154954545	-65.4378866279815	64	21.046674010730257	-1000
18790	0.7	20	-100.88970004336021	-51.114064678447036	-51.117848192887124	74	30.596997260185333	-1000
22787	0.7	20	-100.88970004336021	-73.01593578824524	-73.63974658258684	44	8.111676053948429	-1000
24722	0.7	20	-100.88970004336021	-75.78986420696717	-77.01174006892761	11	4.882319952038301	-1000
31431	0.7	20	-100.88970004336021	-77.02199723373228	-77.4723598216855	67	9.615092994235198	-1000
13127	0.7	20	-100.88970004336021	-50.38007595613165	-50.38248353579819	24	32.560832599647455	-1000
38075	0.7	20	-100.88970004336021	-62.547268338011776	-62.58434528924677	67	20.66825129080935	-1000
